Time(sec)_full_semester,Overhead(sec),Time_per_night(sec),N_obs(full_semester),Starname,RAH,RAM,RAS,DECD,DECM,DECS,epoch,vmag=,Vmag,T_exp(sec),T_max(sec),Exp_meter_counts(k),decker,N_obs,Iodine,Priority,Program code,Telescope Propsoal Code,Comment,Include,Done,Cadence
Exposure time + overhead,120,,requested,,,,,,,,,,,,,,,per night,,,(for script),,,Y/N,,min separation
Formula,leave blank,Formula,,,,,,,,,,,,,,,,,,,,,,,,in days
2196,,246,6,HIP64573,13,14,9.7,-16,33,35,2000,vmag=,8.9,246,500,250,B5,1,in,p1,JWZ,H391," companion at 1.7'', observe NE component",,,1
2360,,116,10,118203,13,34,2.3,53,43,41,2000,vmag=,8.1,116,500,250,B5,1,in,p1,JWZ,H391,,,,1
880,,100,4,HIP69275,14,10,53,62,31,20,2000,vmag=,8.3,100,500,250,C2,1,out,p2,JWZ,H391,,,,1
3156,,669,4,HIP81087,16,33,44,61,43,6,2000,vmag=,10,669,1200,250,B5,1,in,p2,JWZ,H391," companion at 0.1'', observe brighter component",,,1
588,,27,4,HIP83168,16,59,50,58,27,46,2000,vmag=,6.9,27,500,250,C2,1,out,p2,JWZ,H391,,,,1
2688,,552,4,HIP93711,19,4,54.7,79,45,23,2000,vmag=,9.8,552,1200,250,B5,1,in,p2,JWZ,H391,,,,1
600,,30,4,HIP96618,19,38,38.7,31,13,9,2000,vmag=,7.6,30,500,250,C2,1,out,p2,JWZ,H391,KELT-20 b; high vsini srar,,,1
1764,,132,7,HIP102295A,20,43,38.8,19,43,41,2000,vmag=,8.3,132,500,250,B5,1,in,p1,JWZ,H391,observe SE component,,,1
5124,,734,6,HIP112486,22,47,5,29,51,17,2000,vmag=,11.7,734,900,60,B5,1,in,p1,JWZ,H391,"a close companion at 2 arcsec, rotate the slit to avoid the companion",,,1
3186,,411,6,HIP115594,23,24,55.1,-38,9,39,2000,vmag=,9.4,411,500,250,B5,1,in,p1,JWZ,H391,"companion at 0.7'', observe NW component, ",,,1
60,,30,4,HIP65205,13,21,48.6,17,45,55,2000,vmag=,7.8,30,500,259,C2,1,out,p2,JWZ,H392,"companion at 0.65'', observe SE component, ",,,1
198,,78,1,93963,10,51,6.4,25,38,28,2000,vmag=,9.2,78,500,60,B5,1,in,p2,DG,U011,,Y,N,25
216,,96,1,237566,7,0,20,56,49,27,2000,vmag=,9.4,96,500,60,B5,1,in,p2,DG,U011,,Y,N,25
2770,,434,5,T001173,13,10,43.9,70,46,4,2000,vmag=,11,434,900,60,C2,1,in,p2,DG,U011,,Y,N,25
1569,,403,3,T001174,13,56,52.1,68,37,5,2000,vmag=,11,403,900,60,C2,1,in,p2,DG,U011,,Y,N,25
2730,,426,5,T001180,14,18,13.4,82,11,37,2000,vmag=,11,426,900,60,C2,1,in,p2,DG,U011,,Y,N,25
3565,,593,5,T001244,17,5,7.1,69,31,8,2000,vmag=,11.4,593,1200,60,C2,1,in,p2,DG,U011,,Y,N,25
5155,,911,5,T001248,17,16,5.7,63,6,20,2000,vmag=,11.8,911,2700,60,C2,1,in,p2,DG,U011,,Y,N,25
1722,,454,3,T001249,13,22,14.8,66,18,30,2000,vmag=,11.1,454,1200,60,C2,1,in,p2,DG,U011,,Y,N,25
4275,,735,5,T001269,16,38,47.2,64,33,33,2000,vmag=,11.6,735,1500,60,C2,1,in,p2,DG,U011,,Y,N,25
2615,,403,5,T001438,18,43,41.7,74,56,16,2000,vmag=,11,403,900,60,C2,1,in,p2,DG,U011,,Y,N,25
1284,,308,3,T001443,19,49,35.7,76,8,21,2000,vmag=,10.7,308,900,60,C2,1,in,p2,DG,U011,,Y,N,25
515,,395,1,T001444,20,21,54,70,56,37,2000,vmag=,10.9,395,900,60,C2,1,in,p2,DG,U011,,Y,N,25
671,,551,1,T001472,0,56,27.4,48,38,15,2000,vmag=,11.3,551,1200,60,C2,1,in,p2,DG,U011,,Y,N,25
1615,,203,5,T001669,3,3,49.6,83,35,14,2000,vmag=,10.2,203,500,60,C2,1,in,p2,DG,U011,,Y,N,25
308,,188,1,T001691,18,9,37,86,51,37,2000,vmag=,10.1,188,500,60,C2,1,in,p2,DG,U011,,Y,N,25
3765,,633,5,T001694,6,30,59.7,66,21,38,2000,vmag=,11.4,633,1500,60,C2,1,in,p2,DG,U011,,Y,N,25
1145,,109,5,T001710,6,17,8.1,76,12,39,2000,vmag=,9.5,109,500,60,B5,1,in,p2,DG,U011,,Y,N,25
1205,,121,5,T001723,7,47,11.3,68,28,36,2000,vmag=,9.7,121,500,60,B5,1,in,p2,DG,U011,,Y,N,25
5090,,898,5,T001753,16,49,52.8,61,10,24,2000,vmag=,11.8,898,1800,60,C2,1,in,p2,DG,U011,,Y,N,25
2320,,344,5,T001758,23,38,58,75,41,6,2000,vmag=,10.8,344,900,60,C2,1,in,p2,DG,U011,,Y,N,25
1105,,985,1,T001759,21,47,24.4,62,45,13,2000,vmag=,11.9,985,2700,60,C2,1,in,p2,DG,U011,,Y,N,25
4405,,761,5,T001775,10,0,27.6,39,27,28,2000,vmag=,11.6,761,1800,60,C2,1,in,p2,DG,U011,,Y,N,25
343,,223,1,T001794,13,33,35.4,49,3,39,2000,vmag=,10.3,223,500,60,C2,1,in,p2,DG,U011,,Y,N,25
4365,,753,5,T002088,17,25,30,75,52,56,2000,vmag=,11.6,753,1800,60,C2,1,in,p2,DG,U011,,Y,N,25
