,time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2022-09-15,2022-09-15,2459837.735192044,2459837.7172702174,2459837.69944613,2459838.122131556,2459838.1400618325,2459838.157894607
2022-09-16,2022-09-16,2459838.7345133554,2459838.7166116186,2459838.6988023254,2459839.1223130543,2459839.1402230314,2459839.1580416397
2022-09-17,2022-09-17,2459839.7338374634,2459839.715954097,2459839.6981586586,2459840.1224923576,2459840.140383069,2459840.1581884637
2022-09-18,2022-09-18,2459840.733163838,2459840.715297972,2459840.697515441,2459841.122669628,2459841.140542111,2459841.15833525
2022-09-19,2022-09-19,2459841.7324928027,2459841.714643755,2459841.6968729827,2459842.122845025,2459842.1407003202,2459842.1584821646
2022-09-20,2022-09-20,2459842.731824676,2459842.713992338,2459842.6962315883,2459843.1230187058,2459843.140857855,2459843.15862937
2022-09-21,2022-09-21,2459843.731159772,2459843.713343127,2459843.695591559,2459844.123190825,2459844.141014871,2459844.1587770237
2022-09-22,2022-09-22,2459844.7304983977,2459844.712696424,2459844.6949531934,2459845.1233615344,2459845.141171521,2459845.1589252804
2022-09-23,2022-09-23,2459845.7298408556,2459845.712052526,2459845.6943169534,2459846.1235309825,2459846.141327953,2459846.1590742893
2022-09-24,2022-09-24,2459846.72918744,2459846.7114117243,2459846.69368305,2459847.123699315,2459847.141484311,2459847.159224195
2022-09-25,2022-09-25,2459847.7285384396,2459847.710774305,2459847.6930515645,2459848.123866672,2459848.1416407344,2459848.1593751367
2022-09-26,2022-09-26,2459848.7278945628,2459848.7101405477,2459848.692422776,2459849.1240331945,2459849.1417973605,2459849.1595272506
2022-09-27,2022-09-27,2459849.727256066,2459849.7095107287,2459849.691796959,2459850.1241989695,2459850.141954323,2459850.1596806683
2022-09-28,2022-09-28,2459850.726622679,2459850.7088851193,2459850.691174387,2459851.1243640436,2459851.1421117536,2459851.15983552
2022-09-29,2022-09-29,2459851.7259946717,2459851.708263991,2459851.690555332,2459852.1245287335,2459852.142269787,2459852.1599919368
2022-09-30,2022-09-30,2459852.725372317,2459852.7076477604,2459852.689940069,2459853.12469318,2459853.1424285593,2459853.160150051
2022-10-01,2022-10-01,2459853.7247558916,2459853.7070365436,2459853.6893288773,2459854.1248575347,2459854.1425882187,2459854.1603100062
2022-10-02,2022-10-02,2459854.7241456797,2459854.7064305353,2459854.6887220484,2459855.1250219583,2459855.1427489175,2459855.16047195
2022-10-03,2022-10-03,2459855.7235419685,2459855.7058300264,2459855.6881198767,2459856.125186621,2459856.142910822,2459856.160636043
2022-10-04,2022-10-04,2459856.722945055,2459856.7052353197,2459856.687522434,2459857.1253517102,2459857.143074111,2459857.1608024566
2022-10-05,2022-10-05,2459857.7223552405,2459857.704646724,2459857.686930072,2459858.125517427,2459858.143238977,2459858.1609713766
2022-10-06,2022-10-06,2459858.721772834,2459858.704064555,2459858.686343215,2459859.1256839866,2459859.1434056284,2459859.1611430026
2022-10-07,2022-10-07,2459859.721198191,2459859.703489134,2459859.685762192,2459860.1258516167,2459860.1435742816,2459860.1613175436
2022-10-08,2022-10-08,2459860.7206315505,2459860.7029207833,2459860.6851873347,2459861.126020554,2459861.143745164,2459861.1614952167
2022-10-09,2022-10-09,2459861.7200731547,2459861.702359825,2459861.6846189755,2459862.126191038,2459862.143918504,2459862.16167624
2022-10-10,2022-10-10,2459862.719523317,2459862.7018065797,2459862.684057445,2459863.1263633077,2459863.144094528,2459863.16186083
2022-10-11,2022-10-11,2459863.718982345,2459863.7012613006,2459863.68350307,2459864.1265375954,2459864.1442734567,2459864.1620491957
2022-10-12,2022-10-12,2459864.71845054,2459864.7007239615,2459864.682956173,2459865.1267141253,2459865.1444556476,2459865.1622415353
2022-10-13,2022-10-13,2459865.717928197,2459865.7001951896,2459865.682417072,2459866.126893112,2459866.1446412075,2459866.162438036
2022-10-14,2022-10-14,2459866.7174156024,2459866.6996752853,2459866.6818860765,2459867.127074758,2459867.1448303075,2459867.162638873
2022-10-15,2022-10-15,2459867.716913035,2459867.699164542,2459867.6813634927,2459868.1272592563,2459868.145023125,2459868.1628442076
2022-10-16,2022-10-16,2459868.716420766,2459868.698663245,2459868.680848994,2459869.1274467893,2459869.145219827,2459869.163054191
2022-10-17,2022-10-17,2459869.7159390543,2459869.6981716724,2459869.680343174,2459870.127637528,2459870.145420568,2459870.1632689605
2022-10-18,2022-10-18,2459870.7154681534,2459870.6976900934,2459870.6798465773,2459871.1278316337,2459871.1456254916,2459871.1634886432
2022-10-19,2022-10-19,2459871.715008305,2459871.6972187688,2459871.679359484,2459872.128029259,2459872.1458347314,2459872.163713353
2022-10-20,2022-10-20,2459872.7145595187,2459872.696757951,2459872.678882165,2459873.1282305447,2459873.1460484103,2459873.163943194
2022-10-21,2022-10-21,2459873.714121942,2459873.696307884,2459873.6784148836,2459874.1284356224,2459874.1462666383,2459874.164178255
2022-10-22,2022-10-22,2459874.71369604,2459874.6958688004,2459874.6779578943,2459875.1286446103,2459875.1464895136,2459875.1644186126
